created_at,display_name,followers,friends,handler_name,likes,retweets,text,user_description,user_location
2019-04-01 12:15:35,ZeyaEqubal,573.0,610.0,ZeyaEqubal,0.0,344.0,"RT @nsui: A recap on all the ways the PM fooled the nation
➡️ 15 lakhs to every Indian
➡️ 2 Crore jobs/yr
➡️ Laal aankh to China &amp; Pakistan…",,"Bettiah, West Champaran, Bihar"
2019-04-01 12:15:34,Reform India,8003.0,4358.0,Shubham_RI,0.0,202.0,"RT @KaulRudresh: 5 years pf Modi have been a fraud! 

🗣️Rs. 15 lakh to every Indian

🗣️10 crore jobs

🗣️Laal aankh to China &amp; Pakistan

🗣️1…",#NYAYForIndia,India
2019-04-01 12:15:34,Sandeep Narayan,224.0,320.0,sandeep_msn,1.0,1.0,"Kudos to Motormouth #Sambitpatra for busting #Modi’s lies about success of #UjjwalaScheme.

Baap Ek Numbri Toh Beta… https://t.co/UH5aIj1F4p",Nehruvian | State Research Coordinator @IYCKarnataka | State SM Coordinator @IYCKarnataka,"Bengaluru, India"
2019-04-01 12:15:30,Balkaur Singh Dhillon,806.0,240.0,BalkaurDhillon,0.0,37.0,"RT @_lokeshsharma: कैमरे पर चुनावी फसल काटती भाजपा की अदाकारा!!
#ModiMatBanao 
#AprilFools 
#AprilFoolDay https://t.co/Vfp6WXcfbs","सत्यमेव जयते।

@Sachinpilot 👍","Hanumangarh, India"
2019-04-01 12:15:27,Nitin,13.0,59.0,28nitingupta,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",Love simplicity,"New Delhi, India"
2019-04-01 12:15:25,P M  Majid,281.0,4932.0,Majid81899142,0.0,21.0,"RT @keshavyadaviyc: मिस्टर चौकीदार साहब को उनके विशेष दिवस(मूर्ख दिवस)के लिए हार्दिक बधाई , मैं ईश्वर से प्रार्थना करता हूँ की उन्हें सद्बु…",I love u,Qatar
2019-04-01 12:15:24,Shakib Saifi,122.0,1161.0,Sk3Shakib,0.0,1287.0,"RT @dhruv_rathee: ""We never said we will jail Robert Vadra""
""We said we will jail corrupts""
""Robert Vadra did rampant corruption"" 

Khud hi…",| MARKETING HEAD AT S. K. DESIGN ARTS | CREATIVE DESIGNER AND SERVICE PROVIDER |,"Delhi, India"
2019-04-01 12:15:21,Talented India,7834.0,3757.0,talentednews,0.0,0.0,"आचार संहिता को पैरों तले कुचलती राजनीति

#LokSabhaElections2019 #ModiMatBanao #IndiaSaysNaMoAgain… https://t.co/9a4Wxn0taG",Talented India Media is a privately held media platform to share latest news in an interesting and satirical way..,"Indore, India"
2019-04-01 12:15:21,Bashier M Palayil,0.0,6.0,BashierPalayil,0.0,104.0,RT @hemanth_kgowda: Pakistan couldn’t divide India on religious lines for decades but this Megalomaniac Sangi Modi-Shah did it in last 5 yr…,,
2019-04-01 12:15:20,जन जन के नेता जननायक,23.0,25.0,JannayakAg,0.0,37.0,"RT @_lokeshsharma: कैमरे पर चुनावी फसल काटती भाजपा की अदाकारा!!
#ModiMatBanao 
#AprilFools 
#AprilFoolDay https://t.co/Vfp6WXcfbs",राजस्थान में फिर से खुशहाली....,"Rajasthan, India"
2019-04-01 12:15:17,Saravanan S,135.0,255.0,Thalapathy4CM,0.0,0.0,#ModiMatBanao #ITRaid https://t.co/3lqF8CSWo1,DMK @arivalayam,Aranthangi - Chennai
2019-04-01 12:15:17,Mukesh dhyan yadav B.Ed TET2011,987.0,1153.0,dhyan_mukesh,0.0,1258.0,"RT @JM_Scindia: देखिये कैसे आपके चौकीदार,
ले कर आये जुमलों का भंडार।

कहा गई 2 करोड़ नोकरियाँ?
दुगनी आय? हर खाते में 15 लाख?

बस बता रहे है…","BA,MA,B.ed,Tet,DYT,CCC",azamgarh
